Arrival no,Arrival time (sec),Base station ,Call duration (sec),velocity (km/h)
558,785.979,3,62.818,127.739
559,788.590,19,55.827,106.301
560,792.589,1,213.177,121.701
561,793.484,7,101.960,125.057
562,793.666,18,178.083,113.588
563,795.471,12,46.001,118.190
564,798.319,9,22.305,120.699
565,800.904,17,23.989,135.712
566,801.074,13,52.774,115.813
567,801.362,16,76.951,119.367
568,802.750,2,38.552,115.327
569,802.979,10,82.307,124.739
570,803.581,9,188.026,127.708
571,805.719,16,23.632,124.077
572,807.281,6,166.194,119.741
573,808.473,1,497.243,116.578
574,809.523,8,57.748,127.617
575,809.811,9,107.200,121.080
576,810.111,2,49.006,113.679
577,811.533,3,106.438,121.407
578,812.567,7,109.118,110.199
579,812.676,11,91.010,116.342
580,813.833,9,23.101,118.418
581,814.780,9,21.404,118.295
582,815.587,19,78.995,122.799
583,816.247,13,16.628,105.227
584,816.351,6,122.270,118.561
585,818.553,15,106.341,114.341
586,821.117,15,254.296,116.747
587,821.360,6,170.251,126.316
588,823.457,14,99.213,123.238
589,823.741,13,180.726,126.880
590,823.836,9,129.018,119.897
591,823.914,5,58.805,112.373
592,825.929,11,154.325,111.284
593,827.320,17,25.642,120.454
594,833.749,12,69.785,122.876
595,835.730,6,33.408,136.323
596,835.969,15,290.975,109.263
597,838.841,10,224.345,117.231
598,839.269,17,91.962,140.909
599,839.722,11,290.950,131.100
600,840.103,20,104.764,124.036
601,842.410,5,196.921,123.591
602,848.149,3,261.193,108.422
603,848.874,5,68.858,123.515
604,848.885,6,37.257,115.750
605,855.003,8,115.941,129.416
606,856.173,10,17.626,134.067
607,856.535,4,27.850,114.771
608,856.728,18,93.504,113.891
609,857.480,18,138.332,125.648
610,859.170,9,31.942,113.124
611,868.976,10,25.124,128.016
612,869.139,15,379.448,125.272
613,873.452,20,351.279,136.850
614,874.963,19,76.577,108.028
615,876.290,7,67.614,131.751
616,877.728,13,11.992,112.992
617,880.545,11,40.848,119.627
618,880.548,2,13.563,113.865
619,880.967,13,86.709,120.878
620,881.674,20,125.569,108.051
621,881.905,14,40.539,138.323
622,884.352,15,92.493,113.142
623,886.620,8,75.898,114.178
624,887.763,6,12.162,121.149
625,890.928,12,19.493,128.134
626,891.112,2,67.034,117.181
627,891.128,11,122.915,106.064
628,893.115,12,14.838,132.399
629,895.356,16,44.490,113.100
630,896.367,15,19.690,118.384
631,896.526,4,15.145,113.020
632,897.236,20,256.637,129.711
633,899.959,6,234.030,130.268
634,901.654,13,17.891,126.853
635,902.701,13,118.461,126.212
636,903.630,16,135.287,107.486
637,903.821,10,14.355,115.930
638,904.710,15,228.322,121.053
639,904.718,15,105.173,122.244
640,907.849,16,20.242,126.266
641,908.457,12,70.857,105.202
642,908.558,20,106.681,108.929
643,910.239,3,59.201,114.171
644,911.644,19,220.063,114.547
645,912.720,6,150.995,126.127
646,912.950,2,181.311,108.934
647,913.014,17,15.762,128.747
648,914.617,1,61.662,117.629
649,914.623,17,90.363,117.729
650,914.807,5,117.868,116.134
651,915.937,13,83.489,113.203
652,922.012,4,32.771,121.057
653,924.047,19,187.156,115.236
654,925.326,15,58.240,121.694
655,927.885,17,298.573,119.989
656,929.362,15,201.970,111.566
657,934.197,8,149.336,110.152
658,934.424,13,37.804,114.756
659,934.449,8,14.763,123.091
660,938.065,19,77.059,119.717
661,939.470,13,50.737,129.653
662,940.580,7,346.024,118.087
663,940.870,16,57.938,135.593
664,943.654,12,81.951,116.435
665,945.024,4,392.040,132.508
666,945.835,15,15.745,116.716
667,949.798,20,146.651,129.821
668,951.632,1,87.299,116.109
669,955.000,16,38.361,131.492
670,955.477,15,77.168,120.480
671,955.587,14,32.964,116.267
672,956.331,10,49.942,122.325
673,956.469,17,22.964,133.434
674,956.481,6,183.933,133.779
675,959.150,13,237.039,109.710
676,960.049,3,61.606,130.535
677,960.820,1,37.403,116.160
678,963.252,10,218.361,112.718
679,968.086,10,81.293,131.822
680,970.981,5,154.763,139.230
681,971.494,17,315.114,109.667
682,972.617,2,70.824,128.635
683,974.516,17,141.345,121.243
684,974.957,1,105.289,122.105
685,975.363,19,31.227,130.447
686,975.794,3,144.146,120.703
687,978.726,3,112.570,114.028
688,980.300,4,153.013,111.669
689,981.149,13,26.131,113.163
690,981.289,8,245.357,100.500
691,981.649,14,245.125,126.524
692,981.851,19,235.519,132.515
693,984.930,1,36.290,105.266
694,986.782,19,39.523,117.766
695,987.324,11,158.530,98.980
696,987.946,4,38.906,124.510
697,989.888,8,67.311,119.968
698,991.857,14,23.776,130.612
699,993.135,13,31.224,122.919
700,993.621,4,77.293,118.946
701,994.172,5,103.335,107.203
702,995.770,19,341.274,116.667
703,998.293,7,152.918,104.068
704,1003.864,16,55.350,126.769
705,1003.937,15,134.673,117.911
706,1005.141,3,230.118,112.472
707,1005.479,11,329.449,122.382
708,1006.042,6,42.570,117.002
709,1006.122,4,38.986,112.044
710,1006.248,17,211.677,113.749
711,1006.544,17,232.747,116.697
712,1006.611,10,62.249,123.170
713,1008.997,1,26.842,124.869
714,1010.663,8,33.538,123.125
715,1010.813,4,52.873,117.021
716,1012.621,8,43.567,121.243
717,1013.720,5,114.229,130.440
718,1014.682,13,66.178,116.342
719,1015.634,12,58.086,120.643
720,1016.269,4,23.329,112.529
721,1018.100,17,133.167,123.027
722,1018.578,10,325.976,111.016
723,1018.592,11,14.787,116.830
724,1019.223,13,340.504,130.822
725,1020.035,9,125.406,104.438
726,1020.141,18,170.646,127.899
727,1022.859,16,127.844,110.233
728,1023.802,1,38.524,121.759
729,1024.671,16,144.402,127.131
730,1025.701,8,41.605,122.614
731,1025.703,13,137.112,120.049
732,1026.504,20,70.014,123.154
733,1029.690,8,150.299,121.773
734,1031.023,11,71.185,112.440
735,1036.722,10,351.726,121.840
736,1044.914,16,160.906,123.650
737,1048.179,10,296.234,104.136
738,1050.035,17,163.890,115.974
739,1051.235,13,101.127,120.625
740,1052.413,11,15.103,128.146
741,1053.315,3,85.722,127.163
742,1053.330,2,27.927,127.810
743,1054.388,10,116.909,125.201
744,1054.849,10,189.138,122.154
745,1054.941,19,128.269,125.664
746,1056.116,3,316.766,125.538
747,1058.730,3,273.361,122.142
748,1059.252,3,26.189,128.673
749,1061.264,5,78.615,118.263
750,1062.765,10,19.683,118.670
751,1063.499,15,139.249,102.622
752,1064.940,13,82.782,130.799
753,1065.005,6,113.923,128.738
754,1066.133,2,73.240,117.040
755,1066.786,9,12.783,120.174
756,1067.679,19,47.796,119.512
757,1069.640,18,106.605,109.690
758,1069.894,15,76.018,116.832
759,1071.803,20,37.297,131.342
760,1072.295,14,60.139,123.141
761,1072.582,6,474.827,128.518
762,1074.128,17,38.850,130.832
763,1075.006,1,172.825,95.508
764,1076.184,4,110.306,130.359
765,1078.196,13,186.699,133.967
766,1083.472,7,191.381,121.938
767,1085.731,10,117.426,118.374
768,1087.694,11,132.282,114.897
769,1088.047,13,25.308,127.273
770,1089.089,8,241.708,128.722
771,1089.797,10,101.861,116.540
772,1090.578,18,98.197,104.778
773,1092.271,5,78.966,120.915
774,1094.757,18,108.614,118.787
775,1095.500,18,119.836,122.930
776,1097.081,19,87.681,113.776
777,1097.591,4,25.272,123.250
778,1098.643,16,74.361,113.507
779,1099.149,13,75.732,128.845
780,1099.244,8,239.602,117.306
781,1100.536,7,49.021,117.090
782,1101.407,5,180.991,129.422
783,1101.765,16,48.090,111.015
784,1101.976,9,58.450,116.511
785,1102.145,15,129.851,121.500
786,1103.029,4,30.692,120.360
787,1104.326,7,37.267,114.266
788,1105.950,8,99.271,105.035
789,1106.957,10,543.615,125.071
790,1106.991,17,39.001,117.948
791,1108.347,16,60.836,119.474
792,1109.700,14,67.289,123.663
793,1111.039,2,39.310,132.088
794,1112.206,15,29.984,99.418
795,1112.416,11,213.567,142.147
796,1116.542,12,84.028,113.286
797,1117.633,3,105.008,130.322
798,1118.859,13,100.324,112.241
799,1120.775,19,98.111,142.036
800,1130.751,10,114.737,138.129
801,1131.959,9,57.276,109.038
802,1137.031,20,103.961,119.862
803,1141.642,18,141.828,120.302
804,1142.176,17,145.627,134.738
805,1142.336,16,59.498,120.253
806,1142.451,4,65.452,103.726
807,1144.600,19,301.469,109.603
808,1144.667,10,138.144,114.431
809,1145.187,20,343.128,107.156
810,1146.978,10,39.819,131.766
811,1147.087,4,95.433,130.696
812,1149.628,11,18.463,113.665
813,1151.345,7,69.145,118.447
814,1151.996,4,77.889,128.346
815,1152.517,3,191.637,124.623
816,1155.957,3,102.045,131.954
817,1156.428,1,137.861,135.247
818,1157.691,17,90.120,112.886
819,1158.044,13,220.389,115.956
820,1159.721,9,67.839,128.340
821,1161.477,2,277.396,116.346
822,1162.025,13,11.909,115.823
823,1162.580,7,241.426,121.644
824,1163.236,13,20.615,116.320
825,1166.490,6,249.004,129.073
826,1168.522,19,175.282,129.379
827,1169.281,11,18.897,130.054
828,1170.228,19,36.991,130.274
829,1171.081,12,385.577,131.844
830,1172.278,3,61.397,125.953
831,1173.351,10,14.732,130.273
832,1175.214,17,39.474,111.571
833,1175.378,18,185.232,130.910
834,1176.620,1,31.714,116.669
835,1181.506,2,57.816,115.464
836,1182.332,16,10.952,93.283
837,1182.780,20,177.287,123.629
838,1184.190,7,38.089,113.592
839,1185.413,2,18.755,127.355
840,1186.678,8,141.060,134.732
841,1187.698,10,106.825,123.009
842,1188.121,12,61.489,125.615
843,1190.476,2,112.823,131.053
844,1191.566,14,106.157,122.819
845,1193.536,4,21.858,117.039
846,1193.602,5,42.432,119.576
847,1193.861,17,149.674,123.836
848,1193.987,14,87.550,133.012
849,1196.341,3,90.709,121.233
850,1197.218,1,20.478,126.812
851,1197.348,6,120.265,117.018
852,1198.756,3,196.791,119.618
853,1201.772,11,110.285,131.034
854,1204.521,4,47.446,129.180
855,1206.194,10,108.715,123.940
856,1207.661,3,128.716,118.557
857,1208.274,2,410.265,126.365
858,1210.215,16,67.918,121.984
859,1212.095,2,38.176,118.052
860,1212.272,11,80.486,120.124
